City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
belushya guba,,,,,,,,
guanare,40,VE,1532124000,62,9.04,-69.74,89.6,4.61
eureka,1,US,1532123700,67,40.8,-124.16,64.4,6.93
panaba,20,MX,1532125421,56,21.28,-88.27,92.59,7.4
sibolga,92,ID,1532125422,82,1.74,98.78,71.44,4.38
kholm-zhirkovskiy,88,RU,1532125422,97,55.52,33.47,66.31,2.71
rio gallegos,0,AR,1532120400,64,-51.62,-69.22,37.4,8.05
north bend,1,US,1532123760,59,43.41,-124.22,64.4,28.86
el alto,75,BO,1532120400,93,-16.5,-68.19,37.4,5.82
mugur-aksy,36,RU,1532125423,100,50.38,90.44,38.68,0.69
kletnya,24,RU,1532125424,94,53.39,33.22,64.33,4.05
avarua,75,CK,1532124000,78,-21.21,-159.78,77,13.87
ubinskoye,56,RU,1532125424,71,55.31,79.68,61.09,9.98
antofagasta,0,CL,1532120400,71,-23.65,-70.4,57.2,18.34
lavrentiya,100,RU,1532125425,96,65.58,-170.99,43.45,7.96
santa rosa,0,AR,1532125427,41,-36.62,-64.29,45.25,17.58
svetlogorsk,90,RU,1532122200,82,53.14,59.15,64.4,13.42
kutum,100,SD,1532125427,29,14.2,24.66,84.49,5.95
praia da vitoria,40,PT,1532124000,88,38.73,-27.07,69.8,14.45
rawson,0,AR,1532125428,71,-43.3,-65.11,38.95,6.17
itambacuri,24,BR,1532125428,57,-18.04,-41.68,72.52,6.96
muriwai beach,44,NZ,1532124000,87,-36.82,174.45,53.6,2.24
pevek,0,RU,1532125429,84,69.7,170.27,49.3,2.93
solovetskiy,,,,,,,,
college,20,US,1532123880,49,64.86,-147.8,69.8,10.29
sao miguel do araguaia,0,BR,1532125430,72,-13.28,-50.16,77.92,3.94
gizo,75,IL,1532123400,69,31.8,34.94,80.6,5.82
bayji,0,IQ,1532125430,23,34.93,43.49,84.13,8.63
shwebo,92,MM,1532125430,98,22.57,95.7,75.49,10.76
cidreira,100,BR,1532125431,77,-30.17,-50.22,68.83,16.24
pitimbu,75,BR,1532120400,78,-7.47,-34.81,75.2,8.05
necochea,92,AR,1532125431,100,-38.55,-58.74,45.61,33.24
atar,0,MR,1532125432,19,20.52,-13.05,89.17,3.71
qaqortoq,75,GL,1532123400,66,60.72,-46.03,51.8,5.82
isperih,56,BG,1532125432,100,43.72,26.83,66.49,6.17
bilma,0,NE,1532125433,16,18.69,12.92,78.46,2.71
hamilton,75,BM,1532123700,78,32.3,-64.78,82.4,12.75
luganville,92,VU,1532125433,100,-15.51,167.18,77.29,11.99
alofi,75,NU,1532124000,78,-19.06,-169.92,78.8,11.41
nantucket,1,US,1532124900,68,41.28,-70.1,73.4,4.7
pueblo nuevo,12,MX,1532125435,55,23.99,-106.96,94.75,5.17
ambilobe,36,MG,1532125435,69,-13.19,49.05,72.34,13.44
qasigiannguit,75,GL,1532123400,70,68.82,-51.19,44.6,3.36
castro,92,CL,1532125436,99,-42.48,-73.76,44.8,11.77
esfahan,0,IR,1532122200,13,32.66,51.68,73.4,4.7
chapais,1,CA,1532124000,32,49.78,-74.86,82.4,11.41
zomba,32,MW,1532125436,92,-15.39,35.33,49.12,4.05
katsuura,20,JP,1532121600,83,33.93,134.5,77,5.82
genhe,76,CN,1532125437,96,50.78,121.52,62.62,9.08
merritt island,1,US,1532123760,74,28.54,-80.67,91.4,6.93
koson,0,UZ,1532122200,25,39.04,65.59,84.2,11.41
bachaquero,8,VE,1532125438,65,9.96,-71.12,93.04,2.93
jamshedpur,92,IN,1532125438,96,22.8,86.2,79.54,2.37
bargal,,,,,,,,
vicuna,,,,,,,,
twin falls,1,US,1532123580,14,42.57,-114.46,93.2,6.93
paamiut,92,GL,1532125439,92,61.99,-49.67,41.92,24.85
hami,0,CN,1532125439,45,42.84,93.51,63.07,7.63
malanje,0,AO,1532125440,58,-9.54,16.35,60.55,6.06
wakkanai,68,JP,1532125440,91,45.41,141.67,63.79,21.16
peterhead,75,AU,1532124000,87,-34.83,138.5,46.4,10.29
lebu,75,ET,1532124000,82,8.96,38.73,55.4,6.93
touros,80,BR,1532125441,77,-5.2,-35.46,79,18.14
bacuit,,,,,,,,
nouadhibou,0,MR,1532124000,83,20.93,-17.03,69.8,17.22
hasaki,20,JP,1532122200,88,35.73,140.83,80.6,4.7
aflu,,,,,,,,
esperance,20,TT,1532124000,70,10.24,-61.45,84.2,13.87
naustdal,76,NO,1532123400,82,61.51,5.72,57.2,4.7
flic en flac,40,MU,1532124000,64,-20.27,57.36,71.6,17.22
akhmeta,0,GE,1532122200,64,42.03,45.21,71.6,29.97
dolinsk,75,RU,1532122200,100,47.32,142.8,64.4,4.47
san patricio,24,PY,1532125444,95,-26.98,-56.83,49.75,5.39
iqaluit,20,CA,1532124000,48,63.75,-68.52,66.2,20.8
salinas,90,US,1532123700,77,36.67,-121.66,77,16.11
isangel,68,VU,1532125445,100,-19.55,169.27,72.88,9.75
mogadishu,92,SO,1532125400,100,2.04,45.34,76.3,18.81
bajil,0,ES,1532125446,29,38.23,-2.07,77.11,8.41
port-gentil,40,GA,1532124000,88,-0.72,8.78,73.4,9.17
amderma,,,,,,,,
tsihombe,,,,,,,,
guaimaro,40,CO,1532124000,66,10.58,-74.71,87.8,10.29
sataua,,,,,,,,
manzil jamil,,,,,,,,
yagodnoye,0,RU,1532125447,50,62.52,149.63,53.98,2.93
irbeyskoye,0,RU,1532125448,95,55.64,95.45,53.98,4.05
puerto narino,75,CO,1532124000,94,-3.77,-70.38,75.2,9.17
pokhara,36,NP,1532125448,66,28.21,83.99,65.68,4.05
mount gambier,12,AU,1532125448,89,-37.83,140.78,45.25,3.6
gualaquiza,80,EC,1532125449,87,-3.4,-78.58,67.21,2.37
tumannyy,,,,,,,,
olafsvik,,,,,,,,
sorvag,,,,,,,,
bambous virieux,40,MU,1532124000,64,-20.34,57.76,71.6,17.22
sao filipe,32,CV,1532125450,95,14.9,-24.5,77.47,6.17
nanortalik,48,GL,1532125450,96,60.14,-45.24,39.94,10.76
payo,88,ID,1532125451,93,-3.75,103.64,73.96,3.94
campbell river,40,CA,1532124000,27,50.02,-125.24,73.4,19.46
tonj,,,,,,,,
mill valley,1,US,1532123880,42,37.91,-122.55,91.4,6.93
ust-maya,68,RU,1532125452,87,60.42,134.54,60.55,2.48
lufilufi,64,WS,1532125452,100,-13.87,-171.6,78.64,18.25
kosai,20,JP,1532122200,83,34.71,137.53,82.4,4.7
puerto asis,92,CO,1532125452,100,0.51,-76.5,70.63,2.59
shache,92,CN,1532125453,26,38.42,77.24,83.77,8.41
viligili,,,,,,,,
windsor locks,20,US,1532123700,42,41.93,-72.63,82.4,9.17
agadez,32,NE,1532125453,34,16.97,7.99,86.65,10.42
banjarmasin,20,ID,1532122200,88,-3.32,114.59,77,7.52
ciudad bolivar,36,VE,1532125454,60,8.12,-63.55,87.73,15.01
honningsvag,75,NO,1532121600,93,70.98,25.97,51.8,3.36
morros,20,BR,1532124000,74,-2.87,-44.04,80.6,8.05
faro,0,PT,1532124000,60,37.02,-7.94,73.4,8.05
gautier,75,US,1532124360,59,30.39,-88.61,96.8,3.94
gibara,40,CU,1532123400,49,21.11,-76.13,89.6,9.17
sobolevo,92,RU,1532125456,99,54.43,31.9,66.67,3.38
ituni,,,,,,,,
sabla,8,NG,1532125456,88,12.75,4.71,77.47,5.39
hrinova,0,SK,1532124000,82,48.58,19.53,62.6,1.12
ust-koksa,68,RU,1532125457,82,50.27,85.62,45.07,1.92
yaan,92,NG,1532125457,94,7.38,8.57,73.42,7.07
chuy,100,UY,1532125457,93,-33.69,-53.46,50.65,16.58
kyabram,0,AU,1532125458,91,-36.31,145.05,38.32,5.61
gannan,92,CN,1532125458,97,47.92,123.49,71.62,7.74
moses lake,1,US,1532123580,17,47.13,-119.28,82.4,5.82
ngaoundere,88,CM,1532125458,96,7.32,13.58,65.23,3.6
meulaboh,100,ID,1532125459,100,4.14,96.13,78.46,3.49
novosmolinskiy,20,RU,1532122200,88,56.28,43.05,68,8.95
kaihua,0,CN,1532125459,92,29.14,118.41,69.73,2.37
morshansk,20,RU,1532125460,76,53.44,41.81,69.1,6.4
pochutla,75,MX,1532122860,66,15.74,-96.47,87.8,7.63
playia,,,,,,,,
lolua,,,,,,,,
gazanjyk,0,TM,1532125461,51,39.24,55.52,84.22,3.49
amberley,0,NZ,1532124000,62,-43.15,172.73,51.8,10.29
clyde river,75,CA,1532124000,93,70.47,-68.59,42.8,10.29
omboue,24,GA,1532125462,99,-1.57,9.26,73.15,12.21
mareeba,20,AU,1532124000,94,-16.99,145.42,68,3.15
san rafael,0,AR,1532125463,37,-34.61,-68.33,46.42,2.93
gambela,36,ET,1532125463,88,8.25,34.59,64.51,2.48
bontang,0,ID,1532125464,100,0.12,117.47,79.63,7.96
johnstown,1,US,1532123700,60,40.33,-78.92,82.4,14.99
camacha,40,PT,1532124000,83,33.08,-16.33,71.6,11.41
izhma,0,RU,1532125464,89,65.01,53.91,58.57,2.71
pierre,1,US,1532123580,40,44.37,-100.35,86,9.17
mogzon,32,RU,1532125465,97,51.74,111.97,61.81,6.51
creel,92,MX,1532125465,25,27.75,-107.63,79.54,4.38
tshikapa,0,CD,1532125466,70,-6.42,20.79,69.55,2.59
porto novo,0,BR,1532124000,57,-23.68,-45.44,75.2,1.92
moyale,20,ET,1532125466,89,3.52,39.05,60.73,3.04
devonport,8,AU,1532125248,82,-41.18,146.36,35.98,6.62
havoysund,40,NO,1532123400,93,71,24.66,51.8,8.05
namtsy,0,RU,1532125467,70,62.72,129.66,56.41,4.38
yerbogachen,64,RU,1532125467,70,61.28,108.01,58.66,8.97
bulatukan,75,PH,1532120400,100,6.9,125.16,77,2.15
saint-georges,12,CA,1532125468,56,46.12,-70.67,79,3.15
tammisaari,,,,,,,,
nome,1,US,1532123700,47,30.04,-94.42,96.8,5.82
byron bay,0,AU,1532124000,62,-28.65,153.62,51.8,2.24
altos del rosario,0,CO,1532125469,49,8.79,-74.16,96.01,0.47
luziania,0,BR,1532124000,52,-16.25,-47.95,66.2,4.7
sorong,0,ID,1532125470,100,-0.86,131.25,80.53,6.96
ranfurly,0,CA,1532125470,80,53.41,-111.68,76.93,12.55
polunochnoye,0,RU,1532125470,68,60.87,60.43,57.31,5.73
richards bay,0,ZA,1532125471,85,-28.77,32.06,59.11,7.96
masterton,56,NZ,1532125183,80,-40.95,175.66,47.5,12.55
opuwo,12,NA,1532125471,54,-18.06,13.84,51.46,6.17
sur,0,OM,1532125471,83,22.57,59.53,88.72,8.75
holt,75,GB,1532123400,93,53.08,-2.88,59,1.12
pisco,75,PE,1532124000,82,-13.71,-76.2,64.4,10.29
yekaterinovka,0,RU,1532125473,82,46.69,38.75,71.44,9.08
sola,75,NO,1532123400,93,58.89,5.65,60.8,3.36
kibala,0,TD,1532124000,74,9.11,18.35,82.4,5.5
kuche,,,,,,,,
satitoa,,,,,,,,
caravelas,56,BR,1532125474,99,-17.73,-39.27,76.39,9.98
moanda,0,CD,1532125474,86,-5.93,12.38,70.72,5.61
fujin,68,CN,1532125475,100,47.24,132.03,73.24,3.71
turtkul,,,,,,,,
am timan,64,TD,1532125475,89,11.04,20.28,72.97,2.04
longuenesse,88,FR,1532124000,88,50.74,2.25,64.4,3.36
santa cruz de tenerife,40,ES,1532124000,93,28.47,-16.25,71.6,19.46
blenheim,48,NZ,1532125476,100,-41.52,173.96,50.47,11.43
pindiga,0,NG,1532125476,84,9.98,10.93,75.31,5.61
matara,56,PE,1532125477,43,-13.74,-72.9,53.08,2.59
camana,,,,,,,,
mopti,20,ML,1532120400,66,14.49,-4.19,84.2,6.93
ilmenau,0,DE,1532123400,46,50.69,10.91,69.8,3.36
rosarito,40,CO,1532124000,65,4.91,-75.23,78.8,4.7
muros,40,ES,1532124000,93,42.77,-9.06,59,2.24
ulaangom,0,MN,1532125479,83,49.98,92.07,35.08,1.92
kazalinsk,,,,,,,,
noshiro,75,JP,1532123400,94,40.21,140.05,71.6,4.7
banepa,75,NP,1532123400,94,27.63,85.52,71.6,2.24
okhotsk,56,RU,1532125480,93,59.36,143.24,56.59,4.38
kremasti,0,GR,1532125480,60,36.98,22.87,72.25,4.05
lyubech,88,UA,1532125480,94,51.7,30.66,66.85,7.96
palabuhanratu,,,,,,,,
gopalpur,80,IN,1532125481,98,25.6,86.94,76.93,7.63
talcahuano,0,CL,1532120400,71,-36.72,-73.12,51.8,8.05
boende,76,CD,1532125481,74,-0.28,20.88,77.02,2.15
san marcos,40,GT,1532124000,62,14.97,-91.79,89.6,2.04
mackay,90,CA,1532124000,93,53.65,-115.58,55.4,3.36
port hawkesbury,1,CA,1532124000,64,45.62,-61.36,69.8,6.93
wanning,8,AT,1532123400,52,48.64,13.53,69.8,6.93
moorhead,40,US,1532124900,69,46.87,-96.75,77,11.41
nurota,0,UZ,1532125484,23,40.56,65.69,71.8,6.62
boralday,40,KZ,1532122200,67,43.36,76.86,62.6,2.24
vic,20,ES,1532124000,88,41.93,2.25,77,1.48
salalah,90,OM,1532119800,88,17.01,54.1,78.8,5.82
plettenberg bay,20,ZA,1532125485,92,-34.05,23.37,64.69,9.42
manggar,20,ID,1532125485,98,-2.88,108.27,77.38,7.18
seka,92,ET,1532125485,97,7.6,36.72,56.68,2.15
